"gender","age","height","weight","nc.score"
"2144","Male",20,174,75.5,2.15
"2145","Male",22,180,80.2,3.5
"2146","Male",21,182,78.9,1.43
"2147","Male",19,173,74.3,1.33
"2148","Male",19,165,66.6,1.37
"2149","Female",21,145,58.4,1.42
"2150","Male",23,177,74.9,1.36
"2151","Female",23,164,66.8,1.05
"2152","Male",22,184,84.1,2.6
"2153","Male",20,190,88.8,1.99
"2154","Female",18,173,72.6,3.22
"2155","Male",20,184,82,3.45
"2156","Female",19,169,68,1.65
"2157","Male",23,183,81,2.69
"2158","Female",25,164,66.7,2.88
"2159","Male",19,177,72.7,2.76
"2160","Male",20,177,74.4,1.54
"2161","Female",18,170,69.4,2.98
"2162","Male",23,175,75.4,2.11
"2163","Female",20,160,62.7,1.37
"2164","Male",21,172,71.6,1.82
"2165","Female",23,159,62.1,1.06
"2166","Male",24,186,85.3,1.48
"2167","Female",22,173,74.7,2.58
"2168","Male",22,177,80.8,1.2
"2169","Male",59,175,73.3,2.38
"2170","Female",25,160,64.3,3.46
"2171","Male",21,186,76.9,1.15
"2172","Female",27,162,68.9,1.14
"2173","Male",21,188,86.1,3.72
"2174","Female",21,166,63.5,2.03
"2175","Female",22,155,63.8,2.11
"2176","Male",21,190,87.7,1
"2177","Female",18,169,69.4,3.58
"2178","Male",20,180,80.2,1.18
"2179","Male",43,183,82.8,3.36
"2180","Male",19,170,72.8,1.73
"2181","Female",19,152,64.6,3.92
"2182","Male",20,182,83,1.32
"2183","Female",20,161,64.3,2.54
"2184","Male",22,196,96.4,1.42
"2185","Male",19,161,68.9,2.33
"2186","Male",22,180,81.3,3.04
"2187","Male",21,176,73.7,1.03
"2188","Female",22,158,60.8,1.9
"2189","Female",22,162,66.2,2.56
"2190","Male",22,174,75.6,1.37
"2191","Female",22,176,76.2,1.56
"2192","Female",22,161,67.1,2.2
"2193","Female",20,161,68,2.89
"2194","Male",20,172,74.1,1.98
"2195","Female",20,172,70.5,3.51
"2196","Male",24,190,89.9,2.19
"2197","Male",19,181,77.1,2.53
"2198","Female",21,150,65.4,1.11
"2199","Male",20,173,68.7,2.88
"2200","Male",19,171,69.7,1.3
"2201","Male",42,177,74.8,1.07
"2202","Male",23,179,79.9,1.11
"2203","Male",19,173,72.9,2.13
"2204","Male",22,173,74.4,1.04
"2205","Female",19,150,59.1,1.27
"2206","Male",20,169,72.5,3.62
"2207","Male",21,180,72.8,1.16
"2208","Female",21,174,73.2,1.59
"2209","Female",19,168,69.5,1.54
"2210","Male",23,173,74.8,2.95
"2211","Female",20,164,67.7,2.3
"2212","Female",22,167,66.3,1.32
"2213","Male",18,171,63.4,2.94
"2214","Female",19,169,67.9,1.87
"2215","Female",22,178,75.5,1.6
"2216","Female",21,163,70.2,1.46
"2217","Female",34,159,63.2,1.82
"2218","Female",22,160,64.8,3.22
"2219","Female",22,163,70.3,2.58
"2220","Female",23,169,71.1,2.92
"2221","Male",20,174,78,1.48
"2222","Female",22,147,57.3,1.45
"2223","Female",25,166,67.1,1.07
"2224","Male",21,176,74.2,1.27
"2225","Female",22,153,61.6,2.63
"2226","Male",23,176,74,1.96
"2227","Female",21,161,67.5,2.69
"2228","Male",23,177,71.4,1.99
"2229","Male",22,182,81.5,2.62
"2230","Male",20,171,70.4,1.15
"2231","Female",21,164,66.1,1.22
"2232","Female",23,145,60.3,3.69
"2233","Female",22,160,64,1.82
"2234","Female",18,162,66.6,3.61
"2235","Female",19,158,65.7,1.24
"2236","Male",21,188,87,3.88
"2237","Female",20,168,70.3,2.17
"2238","Female",22,170,70.2,2.33
"2239","Male",20,185,83.5,1.87
"2240","Male",18,178,77.3,2.64
"2241","Male",19,179,78.2,1.29
"2242","Female",20,154,64.5,1.95
"2243","Male",24,184,81.7,1.94
"2244","Male",23,181,73.8,1.07
"2245","Male",20,176,73.8,1.65
"2246","Female",23,166,70.5,1.24
"2247","Female",21,170,68.8,1.04
"2248","Male",24,168,70.2,1.74
"2249","Female",22,164,64.5,3.35
"2250","Female",19,162,64.6,2.11
"2251","Male",20,163,63.6,1.71
"2252","Female",25,172,75.1,2.43
"2253","Female",20,167,70.6,3.81
"2254","Female",24,158,62,1.53
"2255","Female",23,172,70.3,3.5
"2256","Male",21,169,70.9,2.1
"2257","Male",21,178,76.8,3.35
"2258","Female",20,171,70.7,3.52
"2259","Female",19,167,67.3,2.16
"2260","Female",25,172,74.3,1.79
"2261","Male",18,189,85.2,1.71
"2262","Female",23,151,60.8,1.55
"2263","Female",23,165,63.8,1.83
"2264","Female",21,163,68.2,1.3
"2265","Male",21,163,68.7,1.41
"2266","Male",20,201,109.3,2.68
"2267","Male",21,175,73.2,1.39
"2268","Male",21,175,72.4,3.35
"2269","Male",23,184,79.4,1.19
"2270","Male",25,180,81.5,2.14
"2271","Female",24,177,75.4,2.13
"2272","Male",26,167,69.4,1.74
"2273","Male",19,165,71.5,1.79
"2274","Male",22,182,81.3,1.25
"2275","Female",22,157,62.6,2.68
"2276","Female",24,168,69.3,1.75
"2277","Female",23,168,72.2,2.37
"2278","Female",22,156,64.8,2.45
"2279","Male",35,188,80.2,2.64
"2280","Female",21,173,72.3,2.84
"2281","Male",20,184,81.1,1.7
"2282","Male",22,178,77.9,1.59
"2283","Male",21,186,86.9,1.28
"2284","Male",22,189,87.9,1.49
"2285","Male",44,188,86.6,2.62
"2286","Female",51,164,68.5,2.98
"2287","Female",20,157,62.4,2.32
"2288","Female",20,158,60.7,3.95
"2289","Male",19,182,80.7,2.3
"2290","Female",22,160,67.7,2.81
"2291","Male",19,168,68.9,2.31
"2292","Male",19,170,71,2.63
"2293","Female",23,160,62.2,1.56
"2294","Female",21,171,71.6,2.24
"2295","Male",43,178,74.8,1.42
"2296","Female",45,155,66.7,1.24
"2297","Female",20,170,71,1.02
"2298","Male",18,181,80.9,1.22
"2299","Female",23,166,71.5,1.49
"2300","Female",19,161,67.7,1.22
"2301","Male",21,176,69.8,1.95
"2302","Male",23,185,80.4,2.73
"2303","Male",21,169,71.7,1.64
"2304","Male",24,186,82.8,1.32
"2305","Male",20,190,85.5,3.34
"2306","Female",22,169,72.2,1.37
"2307","Female",20,174,72.5,2.89
"2308","Female",20,165,66.1,1.57
"2309","Female",20,149,58.3,1.37
"2310","Female",57,171,70,1.37
"2311","Female",19,162,67.3,1.87
"2312","Male",21,190,86.4,2.96
"2313","Female",25,151,64.3,3.88
"2314","Female",20,154,60.8,1.47
"2315","Female",23,159,65.8,2.49
"2316","Female",23,166,66.2,2.24
"2317","Female",19,164,62.6,2.42
"2318","Female",63,162,68,2.19
"2319","Female",22,188,89,1.55
"2320","Female",20,172,70.2,3.06
"2321","Male",22,189,80.5,2.37
"2322","Female",21,151,58.4,3.7
"2323","Female",19,167,69.6,2.27
"2324","Female",19,158,63.8,1.22
"2325","Male",22,192,93.3,2.03
"2326","Female",23,164,71.3,1.58
"2327","Male",19,179,77.5,3.86
"2328","Male",21,190,86,1.48
"2329","Female",19,165,67.8,1.29
"2330","Male",21,177,80.8,1.42
"2331","Female",19,172,72.7,2.86
"2332","Male",20,188,89.1,2.78
"2333","Male",22,174,76.3,1.11
"2334","Male",21,185,84.2,3.1
"2335","Male",19,179,79.2,3.34
"2336","Male",21,167,68.9,1.31
"2337","Female",18,164,64,3.2
"2338","Male",21,180,78.9,2.71
"2339","Female",21,166,70,1.02
"2340","Male",22,185,85,1.25
"2341","Male",20,179,76.9,1.27
"2342","Male",19,176,79.5,2.71
"2343","Male",20,175,76.2,2.99
"2344","Male",22,183,82.4,1.88
"2345","Female",23,154,61,3.84
"2346","Female",21,166,67.4,1.65
"2347","Male",23,178,76.5,1.24
"2348","Female",21,169,70.8,3.57
"2349","Male",20,180,80.3,1.2
"2350","Female",20,161,66.8,3.8
"2351","Female",20,176,75.5,1.39
"2352","Female",21,160,66,1.88
"2353","Male",23,181,80.2,2.22
"2354","Female",46,162,66.1,2.86
"2355","Female",22,158,63.6,3.24
"2356","Male",20,177,76.5,2.13
"2357","Female",23,177,77.8,2.15
"2358","Female",25,155,61.5,3.28
"2359","Female",21,168,69.3,2.39
"2360","Female",22,168,70.2,3.99
"2361","Female",19,173,74.5,1.61
"2362","Male",23,174,76.8,2.9
"2363","Male",22,165,69,1.98
"2364","Male",20,177,75.4,2.11
"2365","Male",23,192,89.7,1.74
"2366","Male",21,172,73.1,1.85
"2367","Female",22,176,77.5,1.94
"2368","Male",23,186,82.4,3.25
"2369","Male",21,168,70.7,1.32
"2370","Female",19,157,65.3,2.34
"2371","Male",21,184,78,2.04
"2372","Female",23,163,67.3,1.61
"2373","Male",43,170,71.6,3.06
"2374","Female",21,164,67,2.32
"2375","Female",21,164,65.5,2.84
"2376","Male",33,181,84,2.5
"2377","Male",21,190,91.2,3.5
"2378","Male",22,172,70.3,2.9
"2379","Female",24,165,67.2,1.85
"2380","Male",20,178,76.1,1.14
"2381","Male",20,168,74.3,2.17
"2382","Male",23,170,70.8,2.56
"2383","Male",18,184,82.1,1.9
"2384","Male",21,179,77.7,1.05
"2385","Female",21,162,67.1,1.41
"2386","Male",22,184,84.9,2.83
"2387","Female",21,170,70,1.54
"2388","Female",20,164,68.5,3.48
"2389","Male",23,185,86.2,1.44
"2390","Male",21,181,83.6,1.45
"2391","Male",19,187,81.4,1.77
"2392","Female",20,158,65.5,1.04
"2393","Male",21,174,76.8,2.12
"2394","Female",60,165,65,1.74
"2395","Female",45,178,77.3,2.48
"2396","Male",21,196,102.2,2.02
"2397","Female",21,170,70,1.17
"2398","Female",21,163,66.1,3.7
"2399","Male",19,184,83.8,1.22
"2400","Female",21,178,77.3,2.84
"2401","Female",20,163,67.1,2.71
"2402","Female",22,164,72.3,3.01
"2403","Male",21,176,74.3,3.44
"2404","Female",20,155,61,1.81
"2405","Female",18,168,71.8,1.03
"2406","Male",20,172,71.1,1.2
"2407","Male",24,183,79.3,1
"2408","Female",22,169,68.1,2.21
"2409","Female",22,141,55.9,3.28
"2410","Male",21,186,83.9,1.09
"2411","Male",20,169,68.8,3.72
"2412","Female",20,161,68.2,2.42
"2413","Female",23,150,61.4,3.26
"2414","Female",22,161,65.8,1.59
"2415","Male",25,178,76.1,1.08
"2416","Female",21,165,67,2.74
"2417","Female",21,168,69,3.83
"2418","Male",21,173,73.8,3.22
"2419","Female",21,174,75.4,1.13
"2420","Male",22,166,64.8,2.82
"2421","Female",20,161,60.9,3.85
"2422","Male",21,188,85.3,1.72
"2423","Male",26,175,76.9,1.56
"2424","Female",19,176,72.6,3.94
"2425","Female",20,143,56.2,2.44
"2426","Female",21,157,64.4,3.12
"2427","Male",21,169,71.8,3.55
"2428","Female",20,164,70,1.17
"2429","Female",33,152,60.1,2.7
"2430","Male",24,173,74.4,2.74
"2431","Male",22,179,73.9,3.89
"2432","Male",25,177,74.4,2.15
"2433","Male",22,191,89.5,1.51
"2434","Female",21,168,71.4,1.78
"2435","Male",20,186,86.5,1.79
"2436","Female",21,171,66.9,3.01
"2437","Male",18,183,80.5,2.59
"2438","Female",29,168,66.9,3.85
"2439","Male",34,178,73.8,1.55
"2440","Female",22,167,70.5,2.01
"2441","Female",22,164,65.4,1.52
"2442","Male",22,173,73.2,3.12
"2443","Female",18,172,71.5,1.19
"2444","Female",51,152,63.8,2.8
"2445","Female",20,161,67,1.74
"2446","Female",21,143,56.6,3.53
"2447","Female",21,173,71.6,1.71
"2448","Male",21,165,70.3,1.18
"2449","Female",23,158,59.6,1.63
"2450","Female",21,162,65.5,1.57
"2451","Male",19,190,87.5,1.02
"2452","Male",51,192,90,3.55
"2453","Male",22,187,88.2,3.03
"2454","Male",19,192,92.1,2.1
"2455","Male",21,181,84,1.17
"2456","Female",21,170,70,1.08
"2457","Female",20,164,67.7,1.38
"2458","Female",18,166,72.1,3.01
"2459","Female",21,162,65.8,1.46
"2460","Female",21,161,65.1,1.02
"2461","Female",20,160,65.7,1.29
"2462","Female",18,170,73,1.2
"2463","Male",24,179,74.1,2.76
"2464","Male",20,183,81.3,1.75
"2465","Female",19,162,62,3.23
"2466","Male",22,184,81.8,2.59
"2467","Female",21,161,68.3,2.39
"2468","Female",22,155,64.7,1.15
"2469","Female",19,159,69.3,3.2
"2470","Female",22,170,67.3,1.19
"2471","Female",19,148,61.3,1.4
"2472","Female",44,158,63.5,1.96
"2473","Female",19,180,77,2.95
"2474","Female",21,160,64.5,1.06
"2475","Male",21,175,74.3,3.7
"2476","Female",22,183,83.2,2.5
"2477","Male",20,186,85.7,2.23
"2478","Male",25,182,78.1,1.49
"2479","Female",18,170,72.6,1.84
"2480","Male",22,174,74.1,1.55
"2481","Female",22,170,68.4,1.73
"2482","Female",20,159,67.3,2.12
"2483","Female",24,154,62.1,2.46
"2484","Female",22,160,65.8,3.38
"2485","Male",23,176,77.8,1.27
"2486","Male",20,178,73.2,2.54
"2487","Female",21,171,66,2.12
"2488","Female",21,171,71.8,2.46
"2489","Male",21,184,80.8,2.28
"2490","Male",22,176,78.5,3.36
"2491","Male",20,185,78.6,1.2
"2492","Male",22,195,94.4,2.21
"2493","Male",23,181,82.4,1.05
"2494","Female",49,150,60.8,2.98
"2495","Female",20,157,60.3,2.12
"2496","Female",22,171,68.6,3.22
"2497","Female",22,164,70.2,1.42
"2498","Male",19,182,83.8,2.73
"2499","Female",31,173,74.2,3.8
"2500","Male",22,194,96.7,1.25
"2501","Female",19,157,61.3,2.34
"2502","Female",21,154,65.3,1.45
"2503","Male",21,180,78.4,2.32
"2504","Female",26,180,77.8,1.28
"2505","Male",19,164,66.3,1.4
"2506","Male",21,173,75.1,1.23
"2507","Female",23,155,64.8,1.47
"2508","Female",22,159,64.4,3.65
"2509","Female",20,169,71.5,2.45
"2510","Female",21,164,64.8,3.9
"2511","Male",20,188,93.1,2.02
"2512","Female",21,161,65.9,2.12
"2513","Male",24,190,91.3,3
"2514","Male",22,174,68.6,3.32
"2515","Female",20,166,69.3,2.19
"2516","Female",21,174,75.1,2.93
"2517","Female",23,159,65.8,2.2
"2518","Male",20,180,78.9,3.28
"2519","Female",21,168,70.5,1.52
"2520","Male",23,180,76,2.71
"2521","Female",20,156,62.6,1.81
"2522","Male",20,188,86.7,3.04
"2523","Female",22,158,63,1.44
"2524","Female",23,174,75.1,3.18
"2525","Male",23,184,80.9,1.37
"2526","Male",56,183,81.2,1.73
"2527","Female",22,177,78.9,1.95
"2528","Female",21,149,58.1,1.9
"2529","Male",20,178,77.2,2.59
"2530","Female",21,171,74.4,2.49
"2531","Male",21,173,76.5,1.91
"2532","Female",19,171,70.6,2.41
"2533","Female",23,145,63.2,2.11
"2534","Male",21,184,82.3,1.16
"2535","Female",21,158,59.6,3.22
"2536","Male",22,171,76,2.31
"2537","Female",24,169,71.6,1.41
"2538","Male",22,181,79.3,1.11
"2539","Female",22,167,68.5,1.79
"2540","Male",21,163,66.9,3.86
"2541","Female",21,162,67.2,1.94
"2542","Male",19,169,70.2,1.34
"2543","Male",21,189,88.5,1.78
"2544","Female",21,168,70.5,1.24
"2545","Female",19,155,61.8,2.9
"2546","Male",41,181,74.3,3.8
"2547","Male",26,167,72.3,2.11
"2548","Male",22,174,73.5,1.92
"2549","Female",22,163,62.6,3.36
"2550","Female",22,157,62.4,2.72
"2551","Female",24,156,65.1,2.45
"2552","Male",22,166,69.2,1.57
"2553","Male",25,198,98.1,2.05
"2554","Female",22,159,62.6,2.87
"2555","Female",26,160,68.7,1.95
"2556","Male",21,181,78.7,3.02
"2557","Male",19,164,66.4,1.18
"2558","Female",23,170,68.8,2.01
"2559","Male",36,192,87.7,2.17
"2560","Female",24,152,61.4,3.04
"2561","Female",22,169,67.3,3.09
"2562","Male",23,174,74.2,1.32
"2563","Female",24,158,63.8,1.8
"2564","Male",20,169,67.8,1.53
"2565","Female",22,167,68.3,2.31
"2566","Female",18,165,68,1.69
"2567","Female",19,170,70.5,2.72
"2568","Female",47,167,67.4,1.46
"2569","Male",24,181,80.1,1.37
"2570","Female",22,167,65.1,1.94
"2571","Male",22,174,73.8,1.76
"2572","Female",23,162,64.5,3.51
"2573","Female",26,164,69.6,2.3
"2574","Female",19,159,60.8,1.67
"2575","Female",23,163,65.4,1.9
"2576","Female",24,164,65.6,2.41
"2577","Male",21,169,70.6,3.26
"2578","Male",22,184,82.6,2.8
"2579","Female",20,172,75.6,1.18
"2580","Male",50,169,72.8,1.41
"2581","Male",22,185,83.2,2.4
"2582","Female",22,171,66.9,1.95
"2583","Male",21,160,65.8,1.65
"2584","Male",19,174,75.6,1.83
"2585","Male",20,168,68.3,1.31
"2586","Female",20,167,68.5,2.7
"2587","Female",22,162,67.2,1.59
"2588","Female",21,157,64.8,2.81
"2589","Male",19,185,82.7,1.75
"2590","Male",23,179,75,2.87
"2591","Female",21,160,66.5,2.44
"2592","Female",22,171,69.9,2.15
"2593","Male",19,184,82.1,1.05
"2594","Female",22,161,64.6,1.61
"2595","Female",22,161,69,1.75
"2596","Male",20,174,73.3,1.36
"2597","Female",23,152,61.5,3.58
"2598","Male",21,180,78.9,3.01
"2599","Male",24,190,88.6,3.04
"2600","Female",21,157,63.8,1.79
"2601","Female",20,160,63.5,1.45
"2602","Male",20,186,80.3,1.81
"2603","Male",19,163,67.3,3.07
"2604","Female",19,160,65.9,1.6
"2605","Female",25,148,57.5,2.61
"2606","Female",22,164,65.1,1.6
"2607","Female",45,160,63.5,2.63
"2608","Female",22,166,67.7,2.52
"2609","Female",22,184,82.7,1.68
"2610","Female",22,162,65.4,1.03
"2611","Female",31,152,65.3,3.5
"2612","Female",21,167,65,2.96
"2613","Male",20,188,83.5,1.19
"2614","Female",20,171,71.9,2.58
"2615","Male",20,176,72.8,1.95
"2616","Female",19,167,73.1,1.03
"2617","Male",21,192,93.4,1.27
"2618","Male",22,175,74.1,1.81
"2619","Male",22,177,74,1.12
"2620","Male",22,181,74.7,2.7
"2621","Male",21,173,71.8,1.05
"2622","Female",19,159,64.8,2.56
"2623","Female",21,156,64.7,1.22
"2624","Male",22,144,60.9,1.31
"2625","Male",24,183,82.8,1.13
"2626","Female",19,149,62.6,2.01
"2627","Female",52,161,64.2,2.39
"2628","Male",22,168,70.7,2.14
"2629","Male",22,180,79,1.28
"2630","Male",19,176,74.3,2.6
"2631","Male",22,181,82.1,1.25
"2632","Female",22,175,77,2.38
"2633","Male",20,188,84.2,1.04
"2634","Female",19,152,59.6,1.21
"2635","Male",22,177,72.4,2.34
"2636","Male",20,174,70.6,2.45
"2637","Female",21,173,71.6,3.08
"2638","Female",22,158,64.6,1.63
"2639","Female",23,167,73.7,1.75
"2640","Male",28,182,82.8,2.62
"2641","Male",21,175,75.7,2.27
"2642","Female",22,166,66.5,3.49
"2643","Male",24,179,75,2.34
"2644","Female",23,169,68,1.21
"2645","Male",21,185,82.3,1.75
"2646","Male",21,174,76.1,1.02
"2647","Male",22,179,79.1,2.81
"2648","Female",22,162,58.6,1.83
"2649","Male",20,173,76,1.23
"2650","Male",22,176,76,1.47
"2651","Female",18,167,71.4,1.81
"2652","Male",24,179,79.1,1.52
"2653","Female",21,172,72.1,2.89
"2654","Female",21,165,69.8,1.17
"2655","Male",21,171,71.5,3.51
"2656","Male",19,166,68.1,3.2
"2657","Female",21,160,67.4,2.07
"2658","Male",21,181,80.4,1.01
"2659","Male",21,178,75.7,1.43
"2660","Female",23,151,60.7,1.93
"2661","Male",21,166,68.4,2.06
"2662","Female",21,169,66.8,1.49
"2663","Male",22,180,75.6,1.24
"2664","Male",23,184,78.7,2.23
"2665","Female",21,158,62.9,2.4
"2666","Male",22,173,72.3,1.34
"2667","Female",18,172,74.4,3.18
"2668","Male",20,188,85.6,1.18
"2669","Female",21,176,73,1.41
"2670","Male",20,183,82.1,3.55
"2671","Male",21,163,67.5,1.63
"2672","Female",22,163,68.4,3.36
"2673","Male",20,184,81.3,2.81
"2674","Female",22,173,72.4,2.1
"2675","Male",20,178,74,2.27
"2676","Female",20,160,67.7,1.04
"2677","Female",23,168,69.3,1.26
"2678","Female",21,168,71.7,1.18
"2679","Male",22,173,71.6,1.62
"2680","Female",22,167,76.1,2.24
"2681","Male",22,185,83.4,1.68
"2682","Female",20,166,65.2,3.82
"2683","Female",25,168,69,2.86
"2684","Female",29,165,65.8,1.04
"2685","Male",22,169,74.8,2.4
"2686","Female",23,168,75.1,1.21
"2687","Male",42,175,72.1,1.14
"2688","Female",62,142,60.5,2.89
"2689","Male",58,177,76.9,1.85
"2690","Female",20,164,63.5,3.07
"2691","Male",39,177,74.7,1.35
"2692","Female",20,168,63,2.41
"2693","Male",22,193,93,1.02
"2694","Male",20,194,90.6,3.19
"2695","Female",23,167,69.4,1.69
"2696","Female",24,156,62.1,1.58
"2697","Male",21,179,85.2,1.56
"2698","Male",23,180,75.7,2.35
"2699","Male",21,180,80.6,2.79
"2700","Female",18,164,63.8,2.13
"2701","Male",21,183,82.1,3.31
"2702","Male",19,185,81.3,2.52
"2703","Female",28,163,65.9,1.83
"2704","Female",19,160,62.8,1.97
"2705","Male",20,167,66.7,3.42
"2706","Female",32,164,71.2,2.05
"2707","Female",23,179,78.3,2.34
"2708","Female",34,175,71.3,3.07
"2709","Female",20,164,63.5,2.24
"2710","Female",19,154,62.2,2.66
"2711","Female",24,159,62.6,1.18
"2712","Male",21,179,73.9,2.59
"2713","Male",21,176,74.3,2.6
"2714","Male",21,189,85.8,2.56
"2715","Female",20,166,66.1,1.25
"2716","Female",21,159,66,2.51
"2717","Female",22,159,64.2,1.53
"2718","Male",20,180,77.7,1.35
"2719","Female",22,176,73.6,1.01
"2720","Female",20,156,60.4,1.38
"2721","Male",22,156,61.6,2
"2722","Female",19,170,72.8,3.7
"2723","Female",18,160,65.9,3.03
"2724","Male",20,178,84.6,1.35
"2725","Female",20,170,73.9,1.95
"2726","Male",20,184,88.3,3.88
"2727","Female",21,159,62.5,1.25
"2728","Female",22,161,64.8,2.79
"2729","Female",20,154,59.8,1.92
"2730","Male",21,193,94.1,3.06
"2731","Female",21,159,62.1,2.32
"2732","Female",20,161,66.3,2.32
"2733","Female",22,176,73.1,3.78
"2734","Female",21,181,78.8,1.03
"2735","Female",21,162,66.9,2.58
"2736","Female",21,149,60.1,1.14
"2737","Female",21,169,70,1.11
"2738","Female",22,174,72.4,2.47
"2739","Female",19,182,80.3,1.3
"2740","Female",21,142,57.9,1.42
"2741","Male",19,194,94.1,2.1
"2742","Male",19,164,66.1,1.42
"2743","Male",23,184,84.6,2.34
"2744","Female",24,165,61.6,3.65
"2745","Male",21,176,73.7,1.9
"2746","Female",26,174,70.6,1.32
"2747","Male",22,192,95.3,2.38
"2748","Female",53,147,59.1,1.41
"2749","Male",22,174,72.4,2.01
"2750","Male",20,177,77.1,3.08
"2751","Female",21,162,67.3,2.92
"2752","Male",22,178,76.5,1.82
"2753","Female",20,167,64.8,1.15
"2754","Male",20,168,67.5,3.36
"2755","Female",20,163,65.9,2.27
"2756","Male",43,180,78.7,2.42
"2757","Male",21,178,76.9,2.56
"2758","Female",21,172,73.8,1.47
"2759","Male",22,192,90.5,1.73
"2760","Female",30,159,65.2,1.81
"2761","Male",24,179,74.9,2.51
"2762","Male",23,176,75.8,3.11
"2763","Male",24,167,64.8,3.65
"2764","Male",22,173,71.6,1.41
"2765","Male",20,180,78.8,2.08
"2766","Female",28,169,67.8,2
"2767","Female",22,169,69.5,2.6
"2768","Male",20,182,83.6,1.51
"2769","Male",22,178,76.8,1.49
"2770","Male",21,175,75.6,1.13
"2771","Female",22,171,70.6,3.32
"2772","Male",20,183,82.7,2.71
"2773","Female",20,155,66.5,2.03
"2774","Female",22,151,63,1.91
"2775","Male",21,172,70.4,1.82
"2776","Male",23,170,68.5,1.53
"2777","Male",20,185,83.9,3.53
"2778","Female",18,169,68.3,1.2
"2779","Female",19,156,62.1,1.77
"2780","Male",20,171,69.8,2.81
"2781","Female",18,167,71.8,2.78
"2782","Male",20,181,78.3,1.57
"2783","Female",24,179,75.2,2.19
"2784","Male",21,179,80.9,2.22
"2785","Female",20,158,63.7,3.62
"2786","Male",19,183,83,2.73
"2787","Female",25,169,70.5,3.14
"2788","Female",23,171,73.4,2.12
"2789","Male",23,179,79.1,2.41
"2790","Male",20,188,87.4,1.16
"2791","Male",20,178,77.2,1.04
"2792","Female",21,164,64.5,1.5
"2793","Female",19,173,68.2,1.47
"2794","Male",19,194,97.4,1.65
"2795","Female",20,156,62.6,1.24
"2796","Female",20,150,59.2,1.52
"2797","Female",20,165,65.6,1.56
"2798","Female",21,172,71,1.01
"2799","Female",23,166,67,2.78
"2800","Male",22,188,86.1,1.99
"2801","Male",27,181,78.9,1.32
"2802","Female",24,154,64.9,2.12
"2803","Female",21,155,63.8,1.13
"2804","Male",21,188,85.8,2
"2805","Male",22,181,80.4,3.08
"2806","Male",19,180,83.1,2.68
"2807","Female",21,169,73.1,1.37
"2808","Male",20,172,70.9,1.95
"2809","Male",20,177,75.7,3
"2810","Female",22,166,69.3,1.63
"2811","Female",23,179,81.9,1.33
"2812","Male",18,171,73.2,2.33
"2813","Male",35,193,92,2.54
"2814","Female",24,166,65.9,2.79
"2815","Male",24,178,74.7,1.32
"2816","Female",39,170,70,2.63
"2817","Male",22,176,74.9,1.41
"2818","Male",19,194,92.7,1.5
"2819","Female",23,158,64.3,3.16
"2820","Female",20,160,67,1.18
"2821","Male",20,171,70.9,2.45
"2822","Female",24,168,67.4,3.5
"2823","Male",22,186,89,1.08
"2824","Male",23,182,76.1,2.55
"2825","Male",23,178,78.1,2.23
"2826","Female",23,152,62.9,1.34
"2827","Male",19,183,78.2,1.57
"2828","Female",20,153,62.6,1.4
"2829","Female",21,162,65.9,1.17
"2830","Male",23,185,85.7,1.6
"2831","Female",22,169,69.8,2.23
"2832","Male",19,179,76.2,1.63
"2833","Female",21,162,63.2,2.28
"2834","Female",56,161,72.1,2.59
"2835","Male",23,170,67,2.22
"2836","Female",22,159,65.6,1.94
"2837","Male",21,173,75.1,2.84
"2838","Female",22,168,69.1,2.36
"2839","Male",19,182,81.4,3.85
"2840","Male",57,181,81.5,1.55
"2841","Female",21,156,60.4,1.64
"2842","Female",21,160,60.9,1.41
"2843","Male",18,179,81.4,1.28
"2844","Male",19,175,72.9,2.59
"2845","Female",20,159,64.6,3.94
"2846","Male",20,192,93.3,1.64
"2847","Male",20,170,72.7,1.26
"2848","Female",22,172,71.4,1.73
"2849","Male",19,180,77.7,1.66
"2850","Female",19,166,70.8,3.71
"2851","Male",21,178,74.7,1.54
"2852","Female",23,175,72.2,3.09
"2853","Female",19,148,60.1,2.49
"2854","Female",21,159,63.9,2.51
"2855","Female",21,161,62.6,1.69
"2856","Male",21,176,72.4,1.45
"2857","Female",21,170,69.6,2.78
"2858","Female",19,167,72.1,1.69
"2859","Female",21,159,63.2,2.03
"2860","Female",23,176,76.7,2.36
"2861","Male",22,175,78.7,3.57
"2862","Female",22,165,62,1.97
"2863","Male",20,174,75.8,2.15
"2864","Male",22,189,85,1.04
"2865","Female",24,164,61.9,2.71
"2866","Male",18,180,74.5,3.5
"2867","Male",21,195,98,1.56
"2868","Female",18,170,69.3,2.44
"2869","Male",21,182,80.8,2.9
"2870","Female",21,171,68.3,3.11
"2871","Male",23,186,82.7,1.95
"2872","Female",19,161,61.9,2.6
"2873","Male",22,180,77.3,3.28
"2874","Female",23,176,74.6,2.83
"2875","Female",21,170,71.9,2.81
"2876","Female",22,160,66.7,2.71
"2877","Female",20,160,61.4,1.94
"2878","Female",19,164,66.8,1.63
"2879","Female",23,157,63.3,2.75
"2880","Female",18,156,64.9,1.01
"2881","Female",20,161,58.6,2.55
"2882","Male",21,183,82.1,2.98
"2883","Male",22,181,77.9,2.84
"2884","Female",22,157,62.1,2.22
"2885","Female",19,162,66.9,1.43
"2886","Male",55,186,86,2.1
"2887","Female",21,159,66,1.74
